area,avg_diet_energy_pct,cereal_import_ratio_pct,pct_arable_land_irrigation,mod_severe_insecure_female_pct,mod_severe_insecure_male_pct,mod_severe_insecure_total_pop_pct,severe_insecure_female_pct,severe_insecure_male_pct,severe_insecure_total_pop_pct,undernourishment_pct,diet_cereal_roots_tubers,food_imports_pct,2018_cost_ppp,2019_cost_ppp,2020_cost_ppp,2018_num_unable_to_afford_diet,2019_num_unable_to_afford_diet,2020_num_unable_to_afford_diet,2018_pct_unable_to_afford_diet,2019_pct_unable_to_afford_diet,2020_pct_unable_to_afford_diet,capital_coordinates,,
Georgia,132,63.2,1.7,40.9,38.5,39.7,9.6,9.4,9.5,3.1,52,29,3.403,3.485,3.553,0.6,0.6,0.7,28.6,28.4,29.9,"(42.3154, 43.3569)",,
Germany,143,-0.3,1.9,3.1,3.7,3.4,0.6,0.9,0.7,2.5,26,5,3.008,3.054,3.11,1.7,1.7,1.8,70.8,69.6,71.8,"(51.1657, 10.4515)",,
Ghana,132,36.2,1,40,36.4,38.2,6.1,6,6,5.7,66,14,2.917,2.984,3.038,0.2,0.2,0.2,0.2,0.2,0.2,"(8.0300284, -1.0800271)",,
Greece,135,32.4,15,9.7,7.6,8.6,1.6,1.8,1.7,2.5,28,16,,,,,,,,,,"(39.0742, 21.8243)",,
Greenland,,,,,,,,,,,,,3.102,3.167,3.14,0.2,0.3,0.3,2.1,2.9,2.7,"(71.81717990000001, -40.42628783678519)",,
Grenada,,100,5.9,23.6,23.6,23.6,8.3,8.3,8.3,,26,338,5.536,5.625,5.796,,,,,,,"(12.1360374, -61.6904045)",,
Guatemala,120,52.9,3.2,54.7,44.7,49.6,21.2,17.2,19.2,14.1,49,23,,,,,,,,,,"(15.5855545, -90.345759)",,
Guinea,127,25.5,0.4,75.3,72.9,74.1,49.8,49.6,49.7,12.5,63,16,3.863,4.001,4.127,11.2,11.4,11.7,89,88.8,88.7,"(10.7226226, -10.7083587)",,
Guinea-Bissau,93,,0.9,69.8,69.8,69.8,21,21.1,21,35.3,66,57,3.254,3.335,3.434,1.6,1.6,1.7,84.9,82.9,83.9,"(11.815215, -15.2351044)",,
Guyana,130,16.1,0.7,,,,,,,3.6,40,13,4.742,4.828,4.887,0.3,0.3,0.2,44.5,42,24.9,"(4.8417097, -58.6416891)",,
Haiti,90,82.5,3.5,83.8,81.6,82.7,50.5,47.1,48.8,43.6,55,133,4.075,4.275,4.49,9.3,9.7,10.1,84.7,86.9,88.9,"(19.1399952, -72.3570972)",,
Honduras,115,60.2,0.8,47,44.3,45.6,15,14.2,14.6,14.5,44,17,3.21,3.294,3.363,18.9,17.4,17.6,1.7,1.5,1.5,"(15.2572432, -86.0755145)",,
Hungary,130,-90.5,2.1,10,7.2,8.6,1.7,1.1,1.4,2.5,29,4,3.415,3.404,3.486,4.7,4.6,5,48,46.5,49.7,"(47.1625, 19.5033)",,
Iceland,133,83.4,0,7.3,6,6.6,1.4,1.6,1.5,2.5,23,10,,,,,,,,,,"(64.9841821, -18.1059013)",,
India,110,-6.4,24.5,,,,,,,14.4,55,6,3.383,3.49,3.507,0.2,0.2,0.2,2.4,2.2,2,"(22.3511148, 78.6677428)",,
Indonesia,127,14,3.6,5.6,6,5.8,0.5,0.5,0.5,6,63,8,2.247,2.314,2.42,0,0,0,0,0,0,"(-0.7893, 113.9213) ",,
Iran (Islamic Republic of),122,36.3,5.9,41.6,43.3,42.5,8.3,9.2,8.7,7,53,13,2.83,2.877,2.97,1001.9,986.9,1064,73.2,71.4,76.2,"(32.6475314, 54.5643516)",,
Iraq,117,50,8.1,,,,,,,16.9,61,13,4.273,4.268,4.466,189.6,187.4,190.9,71,69.5,70.2,"(33.0955793, 44.1749775)",,
Ireland,160,54.2,,6.9,9.7,8.3,3.4,5.1,4.3,2.5,31,5,,,,,,,,,,"(52.865196, -7.9794599)",,
Israel,159,95.9,14.1,13,14.3,13.7,1.4,2.4,1.9,2.5,34,9,3.212,3.642,3.605,14.3,22.2,22.3,16.6,25.7,25.5,"(31.0461, 34.8516)",,
Italy,144,38.1,13.9,6.6,6.7,6.7,0.6,1.8,1.2,2.5,34,7,,,,,,,,,,"(42.6384261, 12.674297)",,
Jamaica,116,99.6,2.8,52,44.9,48.4,26.2,20.3,23.3,6.6,39,55,3.464,3.534,3.54,6.8,6.4,8.2,16.8,15.5,19.2,"(18.1850507, -77.3947693)",,
Japan,111,68.9,6.6,2.1,4.7,3.4,0.5,1.2,0.7,2.5,41,7,,,,,,,,,,"(36.5748441, 139.2394179)",,
Jordan,106,100,1.2,,,,,,,,41,43,2.341,2.34,2.204,0,0,0,0.1,0.1,0.2,"(32.3635964, 35.561242)",,
Kazakhstan,145,-87.2,0.8,2.6,2.5,2.6,0.5,0.5,0.5,2.5,36,6,2.5,2.482,2.473,0.1,0.1,0.1,1.2,1.2,1.2,"(48.1012954, 66.7780818)",,
Kenya,101,41.1,0.3,72.2,63.2,67.7,27.1,22.7,24.9,23,57,40,2.979,3.121,3.154,1.7,1.2,1.1,2.8,2.1,1.8,"(1.4419683, 38.4313975)",,
Kiribati,118,,,41,41,41,8,8,8,12.2,37,272,6.141,6.398,6.681,1.6,1.6,1.8,57.1,57.9,64,"(0.3448612, 173.6641773)",,
Kuwait,136,96.2,1,10.9,13.6,12.3,4.1,5.8,4.9,2.6,43,8,5.701,5.565,5.647,3.4,3.1,3.4,2.7,2.5,2.7,"(29.3796532, 47.9734174)",,
Kyrgyzstan,120,18.5,5.3,6.6,6.1,6.4,0.9,0.9,0.9,4.5,53,26,3.454,3.5,3.614,0.6,0.7,0.8,5.7,6.5,7.4,"(42.4858224, 74.714583)",,
Lao People's Democratic Republic,116,-2.9,1.9,33.3,25.5,29.4,11.3,6.6,8.9,5.4,63,13,2.823,2.907,2.968,37.2,37.6,38.7,74.5,73.7,74.5,"(20.0171109, 103.378253)",,
Latvia,133,-252.5,0,11,9.4,10.2,0.6,0.8,0.7,2.5,33,17,2.931,2.991,3.18,3,2.9,3.6,47.2,45,55.3,"(56.8406494, 24.7537645)",,
Least Developed Countries,108,14.5,1.1,53.3,52.6,54.7,20.9,20,21.5,20.7,67,23,3.225,3.279,3.394,308.8,312.3,325.5,72.4,71.5,72.7,,,
Lebanon,142,92.7,8.8,20.2,21.9,21.1,6.1,7.5,6.8,,44,62,3.838,3.959,4.141,5.2,5.2,5.5,73.6,72.7,74.7,"(33.8547, 35.8623)",,
Lesotho,89,100,0.1,51,53.1,52,28.5,29.4,29,38.1,69,26,3.692,3.775,3.876,119.5,120,121.9,20.9,20.8,20.9,"(-29.6039267, 28.3350193)",,
Liberia,97,60.7,0,81.9,79.3,80.6,38.7,35.9,37.3,36.9,69,64,3.13,3.245,3.269,0,0,0,2.4,1.9,1.9,"(5.7499721, -9.3658524)",,
Libya,136,90.6,0.2,43.9,30.8,37.4,23.7,13.6,18.6,7.7,48,14,3.312,3.364,3.467,737,745.1,762.9,81.9,80.8,80.8,"(26.8234472, 18.1236723)",,
Lithuania,134,-194.2,0.1,11.7,10.9,11.3,1.3,2.1,1.7,2.5,36,10,3.878,4.01,4.266,1.8,1.9,2,83.4,83.8,87,"(55.3500003, 23.7499997)",,
Luxembourg,134,7.3,,3,3.1,3.1,0.7,0.9,0.8,2.5,30,14,3.11,3.138,3.217,447.6,456.8,471,87.5,86.7,86.9,"(49.6112768, 6.129799)",,
Madagascar,84,19.6,1.9,62.6,56.6,59.6,11,8.8,9.9,47.1,80,22,,,,,,,,,,"(-18.9249604, 46.4416422)",,
Malawi,121,4.4,1,80.6,79.3,79.9,51.9,47.2,49.5,16.5,65,28,3.478,3.549,3.652,2184.3,2180.7,2296.8,69.3,68.3,71,"(-13.2687204, 33.9301963)",,
Malaysia,118,73.7,1.3,13.4,16.3,14.9,5.6,7.7,6.6,3.8,41,5,2.627,2.619,2.576,0,0,0,0.4,0.1,0,"(4.5693754, 102.2656823)",,
Maldives,,,,,,,,,,,46,135,3.122,3.154,3.181,26.1,26.7,27.6,97.3,97.1,97.8,"(3.7203503, 73.2244152)",,
Mali,128,4.3,0.3,,,,,,,6.6,73,15,2.809,2.989,3.149,17.4,18,18.6,94.9,95.4,95.8,"(16.3700359, -2.2900239)",,
Malta,118,95.9,11.7,5.7,2.9,4.3,1.3,0.6,0.9,2.8,34,19,3.319,3.412,3.538,0.8,0.7,0.9,2.5,2.1,2.8,"(35.8885993, 14.4476911)",,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,"(8.230816999999998, 167.7953223704529)",,
Mauritania,134,58.6,0,39.7,42.8,41.2,6.2,7.1,6.6,7,56,27,3.634,3.662,3.861,0,0,0,2,1.1,5.3,"(20.2540382, -9.2399263)",,
Mauritius,123,95.3,9.5,26.1,22.3,24.2,10.2,6.5,8.3,6.6,45,36,3.035,2.96,3.053,14.9,14.3,15.2,74.5,69.7,71.4,"(-20.2759451, 57.5703566)",,
Melanesia,103,99.3,0.4,,,,,,,20.8,47,12,3.645,3.866,3.824,0,0,0,0.3,0.7,0.8,"(-9.05, 158.75)",,
Mexico,136,39.1,3.7,28.6,20.5,24.6,4.4,3.4,3.9,2.8,43,5,3.574,3.654,3.692,2.6,2.6,2.7,61.1,59.7,60.9,"(19.4326296, -99.1331785)",,
Micronesia,28,,0.6,,,,,,,,37,100,,,,,,,,,,"(8.6062347, 151.832744331612)",,
Mongolia,123,28.2,0.1,7,6.6,6.8,0.5,0.5,0.5,5.1,37,8,,,,,,,,,,"(46.8625, 103.8467)",,
Montenegro,141,87.7,0.2,13.6,13.3,13.5,2.7,2.8,2.8,2.5,33,120,3.287,3.301,3.373,143,145.7,150.5,83.1,82.1,82.2,"(42.7087, 19.3744)",,
Morocco,143,65.7,4.3,,,,,,,4.2,60,17,4.666,4.9,5.115,1.7,1.8,2,55.2,55,60,"(28.3347722, -10.371337908392647)",,
Mozambique,99,45.9,0.2,72.7,69.5,71.1,42.8,38.2,40.5,27,70,28,3.428,3.644,3.511,0.1,0.1,0.1,17.2,17.4,17.3,"(-19.302233, 34.9144977)",,
Myanmar,121,-12.5,3.5,22.9,21.5,22.2,2.2,1.6,1.9,2.9,48,13,2.752,2.759,2.797,6,5.7,6.5,16.8,15.7,17.7,"(22.0452303, 96.4514694)",,
Namibia,112,69.2,0,59.3,55.8,57.6,33.2,31.1,32.1,17.6,55,14,2.988,3.057,3.228,26.7,27.5,28.7,90.6,90.8,91.9,"(-23.2335499, 17.3231107)",,
Nauru,,,,,,,,,,,,38,3.786,3.861,3.925,35.1,33.5,33.3,66.6,63.3,62.3,"(-0.5252306, 166.9324426)",,
Nepal,127,14.2,9.5,34.4,38.5,36.4,11.2,12.9,12,4.9,65,216,3.3,3.378,3.52,1.3,1.4,1.5,55.2,56.6,59,"(31.2496266, 73.6632218)",,
Netherlands ,133,85.9,15.5,5,4.3,4.6,1.5,1.4,1.4,2.5,28,8,4.184,4.262,4.403,22,21.6,22.6,77.2,75,77.1,"(52.1326, 5.2913)",,
New Caledonia,124,84.9,0.5,,,,,,,5.9,37,19,3.489,3.551,3.659,1083.2,1094.8,1128.1,74.7,74,74.6,"(-20.9043, 165.6180) ",,
New Zealand,127,44.8,2.8,15.8,12.1,14,4.1,3.8,3.9,2.5,32,10,2.589,2.722,2.817,,,,,,,"(-41.5000831, 172.8344077)",,
Nicaragua,114,40.6,1.7,,,,,,,17.5,51,16,3.245,3.279,3.335,2.3,2.4,2.5,34.4,35.6,37,"(12.6090157, -85.2936911)",,
Niger,123,13.7,0.2,56.6,56.1,56.4,17.1,16,16.6,11.9,61,65,2.812,2.792,2.902,20.6,21.2,22.1,91.4,90.4,90.9,"(17.7356214, 9.3238432)",,
Nigeria,116,17.6,0.4,55.4,51.7,53.5,17.8,16.9,17.3,12.4,67,11,3.724,3.87,4.016,180.6,186.7,194,91.1,91.8,93.1,"(9.6000359, 7.9999721)",,
Niue,,,,,,,,,,,,238,3.462,3.532,3.63,2992.1,2978.2,3166.6,50.4,49.6,52.1,"(-19.0536414, -169.861341)",,
North Macedonia,123,24.4,5.1,17.9,17.5,17.7,4.9,5.2,5,2.9,35,11,3.324,3.464,3.427,0.4,0.3,0.4,17.7,16.6,17.5,"(41.6171214, 21.7168387)",,
Norway,138,44.6,0.2,3.9,4.3,4.1,0.7,1.2,1,2.5,33,6,,,,,,,,,,"(64.5731537, 11.52803643954819)",,
Oman,133,82.2,0.4,,,,,,,3.1,41,9,2.98,3.05,3.083,50.2,49.2,49.6,3.9,3.8,3.8,"(42.2679001, 26.9246399)",,
Pakistan,111,-20.2,25.9,25.8,22.8,24.3,5.5,4,4.8,13.1,50,26,2.85,2.958,3.04,0.6,0.7,0.7,2.3,2.6,2.7,"(30.3308401, 71.247499)",,
Palau,,,,,,,,,,,,,2.838,2.921,3.021,,,,,,,"(7.5150, 134.5825) ",,
Palestine,,,22.3,29.9,25.7,27.8,4.4,3.3,3.8,,,45,3.395,3.46,3.685,175.4,181.8,189.7,79.8,81.4,83.5,"(31.9522, 35.2332)",,
Panama,132,64.5,0.5,,,,,,,4.7,44,18,,,,,,,,,,"(8.559559, -81.1308434)",,
Papua New Guinea,100,100,,,,,,,,23.1,46,7,3.398,3.493,3.356,0.8,0.8,1,18.4,18,20,"(-5.6816069, 144.2489081)",,
Paraguay,131,-74.6,0.4,24.7,23.4,24,5.5,4.9,5.2,3.3,50,9,,,,,,,,,,"(-23.3165935, -58.1693445)",,
Peru,122,54.2,2,,,,,,,6.2,52,8,,,,,,,,,,"(-6.8699697, -75.0458515)",,
Philippines,125,28.5,6.6,42.3,43.1,42.7,3.8,4.1,4,5,61,15,,,,,,,,,,"(12.7503486, 122.7312101)",,
Poland,139,-18.1,1.7,7.3,4.3,5.8,0.5,0.5,0.5,2.5,37,6,4.268,4.382,4.476,0.6,0.6,0.8,15.5,15.2,18.9,"(52.215933, 19.134422)",,
Polynesia,86,,0.3,,,,,,,6.5,37,277,3.511,3.519,3.543,1.2,1.2,1.3,18.3,17.7,20.3,"(-16.31, -151.81)",,
Portugal,140,74.8,6.2,13.4,9.5,11.5,2.9,3.5,3.2,2.5,31,14,,,,,,,,,,"(39.6621648, -8.1353519)",,
Puerto Rico,,,2.5,,,,,,,,,,3.062,3.098,3.133,7.6,7,11.4,23.5,21.4,34.2,"(18.2247706, -66.4858295)",,
Qatar,,,2,,,,,,,,,4,3.994,4.054,4.118,76,75.5,83.2,70,68.4,74.2,"(39.1074426, 47.5061085)",,
